# op_idx  op_name                          input_shapes -> output_shapes
 101  DEQUANTIZE                      in=[]  -> out=['1x5x5x384']  consts=['1x5x5x384']
 102  DEQUANTIZE                      in=[]  -> out=['384']  consts=['384']
 103  DEPTHWISE_CONV_2D               in=['1x16x16x384', '1x5x5x384', '384']  -> out=['1x16x16x384']  consts=[]
 104  DEQUANTIZE                      in=[]  -> out=['88x1x1x384']  consts=['88x1x1x384']
 105  DEQUANTIZE                      in=[]  -> out=['88']  consts=['88']
 106  CONV_2D                         in=['1x16x16x384', '88x1x1x384', '88']  -> out=['1x16x16x88']  consts=[]
 107  DEQUANTIZE                      in=[]  -> out=['528x1x1x88']  consts=['528x1x1x88']
 108  DEQUANTIZE                      in=[]  -> out=['528']  consts=['528']
 109  CONV_2D                         in=['1x16x16x88', '528x1x1x88', '528']  -> out=['1x16x16x528']  consts=[]
 110  DEQUANTIZE                      in=[]  -> out=['528']  consts=['528']
 111  DEQUANTIZE                      in=[]  -> out=['1x5x5x528']  consts=['1x5x5x528']
 112  DEPTHWISE_CONV_2D               in=['1x16x16x528', '1x5x5x528', '528']  -> out=['1x16x16x528']  consts=[]
 113  DEQUANTIZE                      in=[]  -> out=['88x1x1x528']  consts=['88x1x1x528']
 114  DEQUANTIZE                      in=[]  -> out=['88']  consts=['88']
 115  CONV_2D                         in=['1x16x16x528', '88x1x1x528', '88']  -> out=['1x16x16x88']  consts=[]
 116  ADD                             in=['1x16x16x88', '1x16x16x88']  -> out=['1x16x16x88']  consts=[]
 117  DEQUANTIZE                      in=[]  -> out=['528x1x1x88']  consts=['528x1x1x88']
 118  DEQUANTIZE                      in=[]  -> out=['528']  consts=['528']
 119  CONV_2D                         in=['1x16x16x88', '528x1x1x88', '528']  -> out=['1x16x16x528']  consts=[]
 120  DEQUANTIZE                      in=[]  -> out=['528']  consts=['528']
 121  DEQUANTIZE                      in=[]  -> out=['1x5x5x528']  consts=['1x5x5x528']
 122  DEPTHWISE_CONV_2D               in=['1x16x16x528', '1x5x5x528', '528']  -> out=['1x16x16x528']  consts=[]
 123  DEQUANTIZE                      in=[]  -> out=['88']  consts=['88']
 124  DEQUANTIZE                      in=[]  -> out=['88x1x1x528']  consts=['88x1x1x528']
 125  CONV_2D                         in=['1x16x16x528', '88x1x1x528', '88']  -> out=['1x16x16x88']  consts=[]
 126  ADD                             in=['1x16x16x88', '1x16x16x88']  -> out=['1x16x16x88']  consts=[]
 127  DEQUANTIZE                      in=[]  -> out=['528x1x1x88']  consts=['528x1x1x88']
 128  DEQUANTIZE                      in=[]  -> out=['528']  consts=['528']
 129  CONV_2D                         in=['1x16x16x88', '528x1x1x88', '528']  -> out=['1x16x16x528']  consts=[]
 130  DEQUANTIZE                      in=[]  -> out=['1x3x3x88']  consts=['1x3x3x88']
 131  DEQUANTIZE                      in=[]  -> out=['88']  consts=['88']
 132  DEPTHWISE_CONV_2D               in=['1x16x16x88', '1x3x3x88', '88']  -> out=['1x16x16x88']  consts=[]
 133  DEQUANTIZE                      in=[]  -> out=['48x1x1x88']  consts=['48x1x1x88']
 134  DEQUANTIZE                      in=[]  -> out=['48']  consts=['48']
 135  CONV_2D                         in=['1x16x16x88', '48x1x1x88', '48']  -> out=['1x16x16x48']  consts=[]
 136  PAD                             in=['1x16x16x528']  -> out=['1x20x20x528']  consts=['4x2']
 137  DEQUANTIZE                      in=[]  -> out=['1x5x5x528']  consts=['1x5x5x528']
 138  DEQUANTIZE                      in=[]  -> out=['528']  consts=['528']
 139  DEPTHWISE_CONV_2D               in=['1x20x20x528', '1x5x5x528', '528']  -> out=['1x8x8x528']  consts=[]
 140  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
 141  DEQUANTIZE                      in=[]  -> out=['144x1x1x528']  consts=['144x1x1x528']
 142  CONV_2D                         in=['1x8x8x528', '144x1x1x528', '144']  -> out=['1x8x8x144']  consts=[]
 143  DEQUANTIZE                      in=[]  -> out=['864x1x1x144']  consts=['864x1x1x144']
 144  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 145  CONV_2D                         in=['1x8x8x144', '864x1x1x144', '864']  -> out=['1x8x8x864']  consts=[]
 146  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 147  DEQUANTIZE                      in=[]  -> out=['1x5x5x864']  consts=['1x5x5x864']
 148  DEPTHWISE_CONV_2D               in=['1x8x8x864', '1x5x5x864', '864']  -> out=['1x8x8x864']  consts=[]
 149  DEQUANTIZE                      in=[]  -> out=['144x1x1x864']  consts=['144x1x1x864']
 150  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
 151  CONV_2D                         in=['1x8x8x864', '144x1x1x864', '144']  -> out=['1x8x8x144']  consts=[]
 152  ADD                             in=['1x8x8x144', '1x8x8x144']  -> out=['1x8x8x144']  consts=[]
 153  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 154  DEQUANTIZE                      in=[]  -> out=['864x1x1x144']  consts=['864x1x1x144']
 155  CONV_2D                         in=['1x8x8x144', '864x1x1x144', '864']  -> out=['1x8x8x864']  consts=[]
 156  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 157  DEQUANTIZE                      in=[]  -> out=['1x5x5x864']  consts=['1x5x5x864']
 158  DEPTHWISE_CONV_2D               in=['1x8x8x864', '1x5x5x864', '864']  -> out=['1x8x8x864']  consts=[]
 159  DEQUANTIZE                      in=[]  -> out=['144x1x1x864']  consts=['144x1x1x864']
 160  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
 161  CONV_2D                         in=['1x8x8x864', '144x1x1x864', '144']  -> out=['1x8x8x144']  consts=[]
 162  ADD                             in=['1x8x8x144', '1x8x8x144']  -> out=['1x8x8x144']  consts=[]
 163  DEQUANTIZE                      in=[]  -> out=['864x1x1x144']  consts=['864x1x1x144']
 164  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 165  CONV_2D                         in=['1x8x8x144', '864x1x1x144', '864']  -> out=['1x8x8x864']  consts=[]
 166  DEQUANTIZE                      in=[]  -> out=['1x5x5x864']  consts=['1x5x5x864']
 167  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 168  DEPTHWISE_CONV_2D               in=['1x8x8x864', '1x5x5x864', '864']  -> out=['1x8x8x864']  consts=[]
 169  DEQUANTIZE                      in=[]  -> out=['144x1x1x864']  consts=['144x1x1x864']
 170  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
 171  CONV_2D                         in=['1x8x8x864', '144x1x1x864', '144']  -> out=['1x8x8x144']  consts=[]
 172  ADD                             in=['1x8x8x144', '1x8x8x144']  -> out=['1x8x8x144']  consts=[]
 173  DEQUANTIZE                      in=[]  -> out=['864x1x1x144']  consts=['864x1x1x144']
 174  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 175  CONV_2D                         in=['1x8x8x144', '864x1x1x144', '864']  -> out=['1x8x8x864']  consts=[]
 176  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 177  DEQUANTIZE                      in=[]  -> out=['1x3x3x864']  consts=['1x3x3x864']
 178  DEPTHWISE_CONV_2D               in=['1x8x8x864', '1x3x3x864', '864']  -> out=['1x8x8x864']  consts=[]
 179  DEQUANTIZE                      in=[]  -> out=['864']  consts=['864']
 180  DEQUANTIZE                      in=[]  -> out=['1x3x3x864']  consts=['1x3x3x864']
 181  DEPTHWISE_CONV_2D               in=['1x8x8x864', '1x3x3x864', '864']  -> out=['1x8x8x864']  consts=[]
 182  DEQUANTIZE                      in=[]  -> out=['48x1x1x864']  consts=['48x1x1x864']
 183  DEQUANTIZE                      in=[]  -> out=['48']  consts=['48']
 184  CONV_2D                         in=['1x8x8x864', '48x1x1x864', '48']  -> out=['1x8x8x48']  consts=[]
