# op_idx  op_name                          input_shapes -> output_shapes
  96  DEQUANTIZE                      in=[]  -> out=['1x5x5x336']  consts=['1x5x5x336']
  97  DEPTHWISE_CONV_2D               in=['1x32x32x336', '1x5x5x336', '336']  -> out=['1x32x32x336']  consts=[]
  98  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
  99  DEQUANTIZE                      in=[]  -> out=['56x1x1x336']  consts=['56x1x1x336']
 100  CONV_2D                         in=['1x32x32x336', '56x1x1x336', '56']  -> out=['1x32x32x56']  consts=[]
 101  ADD                             in=['1x32x32x56', '1x32x32x56']  -> out=['1x32x32x56']  consts=[]
 102  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
 103  DEQUANTIZE                      in=[]  -> out=['336x1x1x56']  consts=['336x1x1x56']
 104  CONV_2D                         in=['1x32x32x56', '336x1x1x56', '336']  -> out=['1x32x32x336']  consts=[]
 105  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
 106  DEQUANTIZE                      in=[]  -> out=['1x3x3x56']  consts=['1x3x3x56']
 107  DEPTHWISE_CONV_2D               in=['1x32x32x56', '1x3x3x56', '56']  -> out=['1x32x32x56']  consts=[]
 108  DEQUANTIZE                      in=[]  -> out=['48x1x1x56']  consts=['48x1x1x56']
 109  DEQUANTIZE                      in=[]  -> out=['48']  consts=['48']
 110  CONV_2D                         in=['1x32x32x56', '48x1x1x56', '48']  -> out=['1x32x32x48']  consts=[]
 111  DEQUANTIZE                      in=[]  -> out=['1x3x3x56']  consts=['1x3x3x56']
 112  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
 113  DEPTHWISE_CONV_2D               in=['1x32x32x56', '1x3x3x56', '56']  -> out=['1x32x32x56']  consts=[]
 114  DEQUANTIZE                      in=[]  -> out=['96x1x1x56']  consts=['96x1x1x56']
 115  DEQUANTIZE                      in=[]  -> out=['96']  consts=['96']
 116  CONV_2D                         in=['1x32x32x56', '96x1x1x56', '96']  -> out=['1x32x32x96']  consts=[]
 117  PAD                             in=['1x32x32x336']  -> out=['1x34x34x336']  consts=['4x2']
 118  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
 119  DEQUANTIZE                      in=[]  -> out=['1x3x3x336']  consts=['1x3x3x336']
 120  DEPTHWISE_CONV_2D               in=['1x34x34x336', '1x3x3x336', '336']  -> out=['1x16x16x336']  consts=[]
 121  DEQUANTIZE                      in=[]  -> out=['112x1x1x336']  consts=['112x1x1x336']
 122  DEQUANTIZE                      in=[]  -> out=['112']  consts=['112']
 123  CONV_2D                         in=['1x16x16x336', '112x1x1x336', '112']  -> out=['1x16x16x112']  consts=[]
 124  DEQUANTIZE                      in=[]  -> out=['672x1x1x112']  consts=['672x1x1x112']
 125  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 126  CONV_2D                         in=['1x16x16x112', '672x1x1x112', '672']  -> out=['1x16x16x672']  consts=[]
 127  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 128  DEQUANTIZE                      in=[]  -> out=['1x3x3x672']  consts=['1x3x3x672']
 129  DEPTHWISE_CONV_2D               in=['1x16x16x672', '1x3x3x672', '672']  -> out=['1x16x16x672']  consts=[]
 130  DEQUANTIZE                      in=[]  -> out=['112']  consts=['112']
 131  DEQUANTIZE                      in=[]  -> out=['112x1x1x672']  consts=['112x1x1x672']
 132  CONV_2D                         in=['1x16x16x672', '112x1x1x672', '112']  -> out=['1x16x16x112']  consts=[]
 133  ADD                             in=['1x16x16x112', '1x16x16x112']  -> out=['1x16x16x112']  consts=[]
 134  DEQUANTIZE                      in=[]  -> out=['672x1x1x112']  consts=['672x1x1x112']
 135  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 136  CONV_2D                         in=['1x16x16x112', '672x1x1x112', '672']  -> out=['1x16x16x672']  consts=[]
 137  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 138  DEQUANTIZE                      in=[]  -> out=['1x3x3x672']  consts=['1x3x3x672']
 139  DEPTHWISE_CONV_2D               in=['1x16x16x672', '1x3x3x672', '672']  -> out=['1x16x16x672']  consts=[]
 140  DEQUANTIZE                      in=[]  -> out=['112']  consts=['112']
 141  DEQUANTIZE                      in=[]  -> out=['112x1x1x672']  consts=['112x1x1x672']
 142  CONV_2D                         in=['1x16x16x672', '112x1x1x672', '112']  -> out=['1x16x16x112']  consts=[]
 143  ADD                             in=['1x16x16x112', '1x16x16x112']  -> out=['1x16x16x112']  consts=[]
 144  DEQUANTIZE                      in=[]  -> out=['672x1x1x112']  consts=['672x1x1x112']
 145  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 146  CONV_2D                         in=['1x16x16x112', '672x1x1x112', '672']  -> out=['1x16x16x672']  consts=[]
 147  DEQUANTIZE                      in=[]  -> out=['1x3x3x672']  consts=['1x3x3x672']
 148  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 149  DEPTHWISE_CONV_2D               in=['1x16x16x672', '1x3x3x672', '672']  -> out=['1x16x16x672']  consts=[]
 150  DEQUANTIZE                      in=[]  -> out=['112x1x1x672']  consts=['112x1x1x672']
 151  DEQUANTIZE                      in=[]  -> out=['112']  consts=['112']
 152  CONV_2D                         in=['1x16x16x672', '112x1x1x672', '112']  -> out=['1x16x16x112']  consts=[]
 153  ADD                             in=['1x16x16x112', '1x16x16x112']  -> out=['1x16x16x112']  consts=[]
 154  DEQUANTIZE                      in=[]  -> out=['672x1x1x112']  consts=['672x1x1x112']
 155  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 156  CONV_2D                         in=['1x16x16x112', '672x1x1x112', '672']  -> out=['1x16x16x672']  consts=[]
 157  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 158  DEQUANTIZE                      in=[]  -> out=['1x3x3x672']  consts=['1x3x3x672']
 159  DEPTHWISE_CONV_2D               in=['1x16x16x672', '1x3x3x672', '672']  -> out=['1x16x16x672']  consts=[]
 160  DEQUANTIZE                      in=[]  -> out=['112x1x1x672']  consts=['112x1x1x672']
 161  DEQUANTIZE                      in=[]  -> out=['112']  consts=['112']
 162  CONV_2D                         in=['1x16x16x672', '112x1x1x672', '112']  -> out=['1x16x16x112']  consts=[]
 163  ADD                             in=['1x16x16x112', '1x16x16x112']  -> out=['1x16x16x112']  consts=[]
 164  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 165  DEQUANTIZE                      in=[]  -> out=['672x1x1x112']  consts=['672x1x1x112']
 166  CONV_2D                         in=['1x16x16x112', '672x1x1x112', '672']  -> out=['1x16x16x672']  consts=[]
 167  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 168  DEQUANTIZE                      in=[]  -> out=['1x3x3x672']  consts=['1x3x3x672']
 169  DEPTHWISE_CONV_2D               in=['1x16x16x672', '1x3x3x672', '672']  -> out=['1x16x16x672']  consts=[]
 170  DEQUANTIZE                      in=[]  -> out=['112x1x1x672']  consts=['112x1x1x672']
 171  DEQUANTIZE                      in=[]  -> out=['112']  consts=['112']
 172  CONV_2D                         in=['1x16x16x672', '112x1x1x672', '112']  -> out=['1x16x16x112']  consts=[]
 173  ADD                             in=['1x16x16x112', '1x16x16x112']  -> out=['1x16x16x112']  consts=[]
 174  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 175  DEQUANTIZE                      in=[]  -> out=['672x1x1x112']  consts=['672x1x1x112']
 176  CONV_2D                         in=['1x16x16x112', '672x1x1x112', '672']  -> out=['1x16x16x672']  consts=[]
 177  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 178  DEQUANTIZE                      in=[]  -> out=['1x5x5x672']  consts=['1x5x5x672']
 179  DEPTHWISE_CONV_2D               in=['1x16x16x672', '1x5x5x672', '672']  -> out=['1x16x16x672']  consts=[]
 180  DEQUANTIZE                      in=[]  -> out=['160x1x1x672']  consts=['160x1x1x672']
 181  DEQUANTIZE                      in=[]  -> out=['160']  consts=['160']
 182  CONV_2D                         in=['1x16x16x672', '160x1x1x672', '160']  -> out=['1x16x16x160']  consts=[]
 183  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 184  DEQUANTIZE                      in=[]  -> out=['960x1x1x160']  consts=['960x1x1x160']
 185  CONV_2D                         in=['1x16x16x160', '960x1x1x160', '960']  -> out=['1x16x16x960']  consts=[]
 186  DEQUANTIZE                      in=[]  -> out=['1x5x5x960']  consts=['1x5x5x960']
 187  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
