# op_idx  op_name                          input_shapes -> output_shapes
 132  DENSIFY                         in=[]  -> out=['112x1x1x672']  consts=['112x1x1x672']
 133  DEQUANTIZE                      in=['112x1x1x672']  -> out=['112x1x1x672']  consts=[]
 134  DEQUANTIZE                      in=[]  -> out=['112']  consts=['112']
 135  CONV_2D                         in=['1x14x14x672', '112x1x1x672', '112']  -> out=['1x14x14x112']  consts=[]
 136  ADD                             in=['1x14x14x112', '1x14x14x112']  -> out=['1x14x14x112']  consts=[]
 137  DENSIFY                         in=[]  -> out=['672x1x1x112']  consts=['672x1x1x112']
 138  DEQUANTIZE                      in=['672x1x1x112']  -> out=['672x1x1x112']  consts=[]
 139  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 140  CONV_2D                         in=['1x14x14x112', '672x1x1x112', '672']  -> out=['1x14x14x672']  consts=[]
 141  DEQUANTIZE                      in=[]  -> out=['112']  consts=['112']
 142  DEQUANTIZE                      in=[]  -> out=['1x3x3x112']  consts=['1x3x3x112']
 143  DEPTHWISE_CONV_2D               in=['1x14x14x112', '1x3x3x112', '112']  -> out=['1x14x14x112']  consts=[]
 144  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
 145  DENSIFY                         in=[]  -> out=['192x1x1x112']  consts=['192x1x1x112']
 146  DEQUANTIZE                      in=['192x1x1x112']  -> out=['192x1x1x112']  consts=[]
 147  CONV_2D                         in=['1x14x14x112', '192x1x1x112', '192']  -> out=['1x14x14x192']  consts=[]
 148  PAD                             in=['1x14x14x672']  -> out=['1x18x18x672']  consts=['4x2']
 149  DEQUANTIZE                      in=[]  -> out=['672']  consts=['672']
 150  DEQUANTIZE                      in=[]  -> out=['1x5x5x672']  consts=['1x5x5x672']
 151  DEPTHWISE_CONV_2D               in=['1x18x18x672', '1x5x5x672', '672']  -> out=['1x7x7x672']  consts=[]
 152  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
 153  DENSIFY                         in=[]  -> out=['192x1x1x672']  consts=['192x1x1x672']
 154  DEQUANTIZE                      in=['192x1x1x672']  -> out=['192x1x1x672']  consts=[]
 155  CONV_2D                         in=['1x7x7x672', '192x1x1x672', '192']  -> out=['1x7x7x192']  consts=[]
 156  DEQUANTIZE                      in=[]  -> out=['1152']  consts=['1152']
 157  DENSIFY                         in=[]  -> out=['1152x1x1x192']  consts=['1152x1x1x192']
 158  DEQUANTIZE                      in=['1152x1x1x192']  -> out=['1152x1x1x192']  consts=[]
 159  CONV_2D                         in=['1x7x7x192', '1152x1x1x192', '1152']  -> out=['1x7x7x1152']  consts=[]
 160  DEQUANTIZE                      in=[]  -> out=['1152']  consts=['1152']
 161  DEQUANTIZE                      in=[]  -> out=['1x5x5x1152']  consts=['1x5x5x1152']
 162  DEPTHWISE_CONV_2D               in=['1x7x7x1152', '1x5x5x1152', '1152']  -> out=['1x7x7x1152']  consts=[]
 163  DENSIFY                         in=[]  -> out=['192x1x1x1152']  consts=['192x1x1x1152']
 164  DEQUANTIZE                      in=['192x1x1x1152']  -> out=['192x1x1x1152']  consts=[]
 165  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
 166  CONV_2D                         in=['1x7x7x1152', '192x1x1x1152', '192']  -> out=['1x7x7x192']  consts=[]
 167  ADD                             in=['1x7x7x192', '1x7x7x192']  -> out=['1x7x7x192']  consts=[]
 168  DENSIFY                         in=[]  -> out=['1152x1x1x192']  consts=['1152x1x1x192']
 169  DEQUANTIZE                      in=['1152x1x1x192']  -> out=['1152x1x1x192']  consts=[]
 170  DEQUANTIZE                      in=[]  -> out=['1152']  consts=['1152']
 171  CONV_2D                         in=['1x7x7x192', '1152x1x1x192', '1152']  -> out=['1x7x7x1152']  consts=[]
 172  DEQUANTIZE                      in=[]  -> out=['1x5x5x1152']  consts=['1x5x5x1152']
 173  DEQUANTIZE                      in=[]  -> out=['1152']  consts=['1152']
 174  DEPTHWISE_CONV_2D               in=['1x7x7x1152', '1x5x5x1152', '1152']  -> out=['1x7x7x1152']  consts=[]
 175  DENSIFY                         in=[]  -> out=['192x1x1x1152']  consts=['192x1x1x1152']
 176  DEQUANTIZE                      in=['192x1x1x1152']  -> out=['192x1x1x1152']  consts=[]
 177  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
 178  CONV_2D                         in=['1x7x7x1152', '192x1x1x1152', '192']  -> out=['1x7x7x192']  consts=[]
 179  ADD                             in=['1x7x7x192', '1x7x7x192']  -> out=['1x7x7x192']  consts=[]
