# op_idx  op_name                          input_shapes -> output_shapes
  91  CONV_2D                         in=['1x16x16x40', '240x1x1x40', '240']  -> out=['1x16x16x240']  consts=[]
  92  DEQUANTIZE                      in=[]  -> out=['1x3x3x240']  consts=['1x3x3x240']
  93  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
  94  DEPTHWISE_CONV_2D               in=['1x16x16x240', '1x3x3x240', '240']  -> out=['1x16x16x240']  consts=[]
  95  DEQUANTIZE                      in=[]  -> out=['40x1x1x240']  consts=['40x1x1x240']
  96  DEQUANTIZE                      in=[]  -> out=['40']  consts=['40']
  97  CONV_2D                         in=['1x16x16x240', '40x1x1x240', '40']  -> out=['1x16x16x40']  consts=[]
  98  ADD                             in=['1x16x16x40', '1x16x16x40']  -> out=['1x16x16x40']  consts=[]
  99  DEQUANTIZE                      in=[]  -> out=['240x1x1x40']  consts=['240x1x1x40']
 100  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
 101  CONV_2D                         in=['1x16x16x40', '240x1x1x40', '240']  -> out=['1x16x16x240']  consts=[]
 102  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
 103  DEQUANTIZE                      in=[]  -> out=['1x5x5x240']  consts=['1x5x5x240']
 104  DEPTHWISE_CONV_2D               in=['1x16x16x240', '1x5x5x240', '240']  -> out=['1x16x16x240']  consts=[]
 105  DEQUANTIZE                      in=[]  -> out=['56x1x1x240']  consts=['56x1x1x240']
 106  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
 107  CONV_2D                         in=['1x16x16x240', '56x1x1x240', '56']  -> out=['1x16x16x56']  consts=[]
 108  DEQUANTIZE                      in=[]  -> out=['336x1x1x56']  consts=['336x1x1x56']
 109  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
 110  CONV_2D                         in=['1x16x16x56', '336x1x1x56', '336']  -> out=['1x16x16x336']  consts=[]
 111  DEQUANTIZE                      in=[]  -> out=['1x5x5x336']  consts=['1x5x5x336']
 112  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
 113  DEPTHWISE_CONV_2D               in=['1x16x16x336', '1x5x5x336', '336']  -> out=['1x16x16x336']  consts=[]
 114  DEQUANTIZE                      in=[]  -> out=['56x1x1x336']  consts=['56x1x1x336']
 115  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
 116  CONV_2D                         in=['1x16x16x336', '56x1x1x336', '56']  -> out=['1x16x16x56']  consts=[]
 117  ADD                             in=['1x16x16x56', '1x16x16x56']  -> out=['1x16x16x56']  consts=[]
 118  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
 119  DEQUANTIZE                      in=[]  -> out=['336x1x1x56']  consts=['336x1x1x56']
 120  CONV_2D                         in=['1x16x16x56', '336x1x1x56', '336']  -> out=['1x16x16x336']  consts=[]
 121  DEQUANTIZE                      in=[]  -> out=['1x5x5x336']  consts=['1x5x5x336']
 122  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
 123  DEPTHWISE_CONV_2D               in=['1x16x16x336', '1x5x5x336', '336']  -> out=['1x16x16x336']  consts=[]
 124  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
 125  DEQUANTIZE                      in=[]  -> out=['56x1x1x336']  consts=['56x1x1x336']
 126  CONV_2D                         in=['1x16x16x336', '56x1x1x336', '56']  -> out=['1x16x16x56']  consts=[]
